stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1066,1066,1066-Polígon Son Rossinyol,PG SON ROSSINYOL,39.602204,2.655260,,http://www.emtpalma.es/p/1066,0, ,,0
1067,1067,1067-Son Oliver,CM SON OLIVER,39.549416,2.769955,,http://www.emtpalma.es/p/1067,0, ,,0
1068,1068,1068-Son Oliver  53,CM SON OLIVER 53,39.549344,2.769839,,http://www.emtpalma.es/p/1068,0, ,,0
1070,1070,1070-Pompeu Fabra  65,CL POMPEU FABRA 65,39.588696,2.654686,,http://www.emtpalma.es/p/1070,0, ,,0
1071,1071,1071-Pompeu Fabra  50,CL POMPEU FABRA 50,39.588858,2.654639,,http://www.emtpalma.es/p/1071,0, ,,0
1072,1072,1072-Pompeu Fabra  7,CL POMPEU FABRA 7,39.588631,2.657120,,http://www.emtpalma.es/p/1072,0, ,,0
1073,1073,1073-Pompeu Fabra  20,CL POMPEU FABRA 20,39.588760,2.658110,,http://www.emtpalma.es/p/1073,0, ,,0
1074,1074,1074-Son Espases Hospitalització,ED SON ESPASES HOSPITALITZACIÓ,39.607301,2.645356,,http://www.emtpalma.es/p/1074,0, ,,0
1075,1075,1075-Son Espases Consultes,ED SON ESPASES CONSULTES,39.607116,2.643727,,http://www.emtpalma.es/p/1075,0, ,,0
1076,1076,1076-Son Espases Consultes,ED SON ESPASES CONSULTES,39.606954,2.643844,,http://www.emtpalma.es/p/1076,0, ,,0
1077,1077,1077-Camí de Son Toells  33,CM SON TOELLS 33,39.551788,2.593227,,http://www.emtpalma.es/p/1077,0, ,,0
1078,1078,1078-Plaça d'Espanya,PZ ESPANYA,39.576034,2.654016,,http://www.emtpalma.es/p/1078,0, ,,0
1079,1079,1079-CIS de Mallorca,CL CARRER ENLLAÇ VIA DE CINTURA,39.567258,2.685993,,http://www.emtpalma.es/p/1079,0, ,,0
1080,1080,1080-Son Cladera,CM NOU,39.600402,2.680684,,http://www.emtpalma.es/p/1080,0, ,,0
1081,1081,1081-Mallol  33,CL MALLOL 33,39.598061,2.681172,,http://www.emtpalma.es/p/1081,0, ,,0
1082,1082,1082-Baltasar Valentí  25,CL BALTASAR VALENTI 25,39.590983,2.682765,,http://www.emtpalma.es/p/1082,0, ,,0
1083,1083,1083-Mallol,CL MALLOL,39.593181,2.682417,,http://www.emtpalma.es/p/1083,0, ,,0
1084,1084,1084-Mallol  107,CL MALLOL 107,39.597566,2.681523,,http://www.emtpalma.es/p/1084,0, ,,0
1085,1085,1085-Gremi de Sabaters,CL GREMI SABATERS,39.603531,2.665562,,http://www.emtpalma.es/p/1085,0, ,,0
1087,1087,1087-Antoni Marquès  9,CL ANTONI MARQUÈS 9,39.579476,2.651134,,http://www.emtpalma.es/p/1087,0, ,,0
1090,1090,1090-Cala Nova,CL JOAN MIRÓ,39.550312,2.598741,,http://www.emtpalma.es/p/1090,0, ,,0
1093,1093,1093-Alber  64,CL ALBER 64,39.582302,2.677879,,http://www.emtpalma.es/p/1093,0, ,,0
1094,1094,1094-Hort municipal,CM CAMÍ 140,39.621245,2.671605,,http://www.emtpalma.es/p/1094,0, ,,0
1095,1095,1095-Camí Salard  12,CM SALARD 12,39.588029,2.679983,,http://www.emtpalma.es/p/1095,0, ,,0
1096,1096,1096-Gran Via Asima  21,AV ASIMA 21,39.606855,2.668167,,http://www.emtpalma.es/p/1096,0, ,,0
1097,1097,1097-Gran Via Asima  11,AV ASIMA 11,39.604725,2.670006,,http://www.emtpalma.es/p/1097,0, ,,0
1101,1101,1101-C.Esport-Residència,CL MENORCA,39.642713,2.645922,,http://www.emtpalma.es/p/1101,0, ,,0
1102,1102,1102-C.Esport-Residència,CL MENORCA,39.642577,2.645363,,http://www.emtpalma.es/p/1102,0, ,,0
1103,1103,1103-Ctra. Sineu,CR SINEU,39.578409,2.708532,,http://www.emtpalma.es/p/1103,0, ,,0
1104,1104,1104-Son Espanyol,CL MARIA AGNESI,39.635719,2.642205,,http://www.emtpalma.es/p/1104,0, ,,0
1105,1105,1105-Son Espanyol,CL MARIA AGNESI,39.635719,2.642100,,http://www.emtpalma.es/p/1105,0, ,,0
1106,1106,1106-Camí de Gènova  4,CM GÈNOVA 4,39.572340,2.619606,,http://www.emtpalma.es/p/1106,0, ,,0
1107,1107,1107-Camí de Gènova  1,CM GÈNOVA 1,39.572196,2.619467,,http://www.emtpalma.es/p/1107,0, ,,0
1108,1108,1108-Verge de Lluc (centre de salut),CL CALA FIGUERA 14,39.594931,2.683422,,http://www.emtpalma.es/p/1108,0, ,,0
1116,1116,1116-Parc de Sa Riera,CL ANDREU TORRENS,39.581562,2.643741,,http://www.emtpalma.es/p/1116,0, ,,0
1117,1117,1117-Balanguera  27 (REGULACIÓ HORÀRIA),CL BALANGUERA 27,39.579051,2.641635,,http://www.emtpalma.es/p/1117,0, ,,0
1122,1122,1122-Ter  2,CL TER 2,39.589642,2.676797,,http://www.emtpalma.es/p/1122,0, ,,0
1123,1123,1123-Guadiana  35,CL GUADIANA 35,39.592495,2.675642,,http://www.emtpalma.es/p/1123,0, ,,0
1124,1124,1124-Genil  32,CL GENIL 32,39.595641,2.675988,,http://www.emtpalma.es/p/1124,0, ,,0
1125,1125,1125-Ter  1,CL TER 1,39.589388,2.676146,,http://www.emtpalma.es/p/1125,0, ,,0
